line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
L0037,26,27,66,58.058,False,"[[395.16, 342.72], [395.25, 343.35], [395.34, 343.98], [395.43, 344.61], [395.521, 345.239], [395.612, 345.868], [395.703, 346.497], [395.795, 347.125], [395.888, 347.752], [395.981, 348.379], [396.075, 349.005], [396.17, 349.63], [396.266, 350.254], [396.363, 350.877], [396.461, 351.499], [396.561, 352.119], [396.661, 352.739], [396.764, 353.356], [396.867, 353.973], [396.973, 354.587], [397.08, 355.2], [411.72, 377.4], [421.44, 375.24], [430.32, 375.12]]",actual
L0038,26,163,66,29.356,False,"[[370.92, 348.24], [383.52, 352.44], [390.48, 352.44], [391.92, 343.44]]",actual
592D,27,40,66,45.508,False,"[[430.08, 375.12], [429.72, 393.24], [425.88, 399.96], [425.897, 400.572], [425.913, 401.184], [425.927, 401.796], [425.94, 402.408], [425.951, 403.02], [425.962, 403.632], [425.972, 404.244], [425.982, 404.856], [425.991, 405.468], [426.0, 406.08], [426.009, 406.692], [426.018, 407.304], [426.028, 407.916], [426.038, 408.528], [426.049, 409.14], [426.06, 409.752], [426.073, 410.364], [426.087, 410.976], [426.103, 411.588], [426.12, 412.2], [433.2, 414.36]]",actual
592C,27,181,66,51.895,False,"[[438.96, 374.4], [446.52, 373.56], [458.76, 367.92], [482.04, 366.96], [488.497, 363.122]]",actual
L0039,28,30,66,86.098,False,"[[506.04, 691.68], [514.92, 697.44], [515.983, 697.808], [517.151, 698.191], [518.416, 698.588], [519.768, 698.997], [521.199, 699.418], [522.701, 699.849], [524.266, 700.29], [525.883, 700.739], [527.546, 701.194], [529.245, 701.655], [530.972, 702.121], [532.718, 702.589], [534.476, 703.06], [536.235, 703.533], [537.988, 704.004], [539.726, 704.475], [541.441, 704.943], [543.124, 705.407], [544.767, 705.867], [546.36, 706.32], [546.594, 706.815], [546.828, 707.328], [547.061, 707.853], [547.294, 708.39], [547.526, 708.934], [547.758, 709.482], [547.988, 710.032], [548.217, 710.58], [548.444, 711.124], [548.67, 711.66], [548.894, 712.185], [549.116, 712.696], [549.336, 713.191], [549.554, 713.665], [549.769, 714.116], [549.981, 714.541], [550.191, 714.937], [550.397, 715.301], [550.6, 715.63], [550.8, 715.92], [554.4, 717.12], [582.72, 714.36]]",actual
L0040,28,103,66,50.553,False,"[[581.64, 714.6], [590.28, 710.76], [615.12, 712.32], [626.4, 700.68]]",actual
544H,28,66,66,83.229,False,"[[593.16, 635.52], [583.56, 704.52], [583.92, 718.08]]",actual
544E,29,66,66,31.52,False,"[[578.64, 605.16], [581.28, 614.04], [587.04, 619.32], [587.173, 619.638], [587.354, 620.046], [587.577, 620.535], [587.838, 621.095], [588.131, 621.718], [588.453, 622.395], [588.797, 623.116], [589.16, 623.872], [589.536, 624.655], [589.92, 625.455], [590.308, 626.263], [590.695, 627.07], [591.075, 627.867], [591.445, 628.645], [591.799, 629.394], [592.132, 630.107], [592.439, 630.772], [592.716, 631.383], [592.958, 631.928], [593.16, 632.4]]",actual
L0041,29,100,66,12.914,False,"[[567.12, 608.64], [574.2, 597.84]]",actual
531D,30,35,66,55.651,False,"[[457.92, 678.84], [482.04, 679.44], [492.36, 684.12], [491.752, 683.881], [491.362, 683.736], [491.177, 683.68], [491.186, 683.708], [491.377, 683.816], [491.74, 683.999], [492.262, 684.252], [492.932, 684.569], [493.739, 684.947], [494.67, 685.38], [495.715, 685.863], [496.861, 686.392], [498.098, 686.962], [499.414, 687.567], [500.797, 688.204], [502.236, 688.866], [503.72, 689.55], [505.236, 690.25], [506.773, 690.962], [508.32, 691.68]]",actual
534B,30,166,66,98.932,False,"[[454.2, 768.0], [465.6, 760.92], [477.36, 757.8], [479.88, 746.64], [482.4, 731.04], [489.36, 724.68], [496.32, 711.84], [496.66, 711.232], [496.997, 710.633], [497.331, 710.042], [497.662, 709.457], [497.991, 708.879], [498.317, 708.307], [498.641, 707.74], [498.964, 707.178], [499.285, 706.62], [499.605, 706.065], [499.924, 705.513], [500.243, 704.963], [500.561, 704.414], [500.879, 703.866], [501.197, 703.318], [501.516, 702.77], [501.835, 702.221], [502.155, 701.67], [502.477, 701.116], [502.8, 700.56], [504.6, 691.68]]",actual
L0042,31,32,66,58.995,False,"[[520.68, 353.64], [526.08, 349.08], [552.24, 348.12], [558.0, 352.68], [571.8, 350.4], [574.8, 347.16]]",actual
513C,31,181,66,33.598,False,"[[488.497, 363.122], [494.76, 359.4], [507.0, 359.4], [519.84, 353.64]]",actual
521D,33,69,66,108.041,False,"[[582.72, 530.76], [616.68, 534.0], [625.68, 532.8], [631.44, 535.8], [642.24, 534.24], [645.0, 542.88], [636.6, 580.32]]",actual
532C,34,35,66,39.428,False,"[[415.32, 690.72], [452.64, 678.0]]",actual
571B,36,80,66,100.834,False,"[[416.4, 176.16], [405.12, 176.52], [405.36, 190.56], [400.68, 198.6], [361.56, 225.96], [357.0, 235.2], [363.6, 240.0]]",actual
L0043,36,86,66,116.802,False,"[[376.8, 150.84], [361.8, 148.8], [357.48, 180.36], [361.68, 200.28], [355.92, 229.2], [352.2, 236.76], [362.52, 241.92]]",actual
L0044,38,39,66,59.419,False,"[[311.76, 340.8], [311.956, 340.592], [312.18, 340.367], [312.431, 340.126], [312.704, 339.872], [312.996, 339.606], [313.303, 339.33], [313.623, 339.047], [313.953, 338.759], [314.288, 338.468], [314.625, 338.175], [314.961, 337.883], [315.294, 337.595], [315.618, 337.311], [315.932, 337.034], [316.232, 336.767], [316.514, 336.511], [316.775, 336.268], [317.012, 336.04], [317.221, 335.83], [317.4, 335.64], [354.6, 333.72], [369.12, 333.48]]",actual
L0045,38,82,66,33.413,False,"[[316.32, 341.88], [301.92, 350.16], [303.167, 349.424], [304.116, 348.862], [304.786, 348.462], [305.199, 348.212], [305.377, 348.099], [305.341, 348.111], [305.112, 348.235], [304.712, 348.459], [304.16, 348.77], [303.48, 349.155], [302.692, 349.602], [301.816, 350.1], [300.876, 350.634], [299.891, 351.192], [298.882, 351.763], [297.873, 352.333], [296.882, 352.891], [295.932, 353.423], [295.045, 353.917], [294.24, 354.36]]",actual
L0046,38,82,66,10.36,False,"[[304.68, 348.0], [314.04, 352.44]]",actual
L0047,38,112,66,12.28,False,"[[317.16, 343.44], [319.68, 345.48], [328.56, 347.16]]",actual
592N,41,42,66,57.579,False,"[[311.4, 516.72], [319.56, 516.72], [319.579, 517.422], [319.599, 518.124], [319.621, 518.826], [319.644, 519.528], [319.669, 520.23], [319.694, 520.932], [319.72, 521.634], [319.746, 522.336], [319.773, 523.038], [319.8, 523.74], [319.827, 524.442], [319.854, 525.144], [319.88, 525.846], [319.906, 526.548], [319.931, 527.25], [319.956, 527.952], [319.979, 528.654], [320.001, 529.356], [320.021, 530.058], [320.04, 530.76], [306.24, 551.52], [295.8, 551.28]]",actual
510,41,84,66,38.909,False,"[[316.32, 480.36], [316.08, 487.2], [305.52, 507.84], [305.52, 508.29], [305.52, 508.74], [305.52, 509.19], [305.52, 509.639], [305.52, 510.088], [305.52, 510.537], [305.52, 510.985], [305.52, 511.432], [305.52, 511.879], [305.52, 512.325], [305.52, 512.77], [305.52, 513.214], [305.52, 513.657], [305.52, 514.099], [305.52, 514.539], [305.52, 514.979], [305.52, 515.416], [305.52, 515.853], [305.52, 516.287], [305.52, 516.72]]",actual
L0048,41,114,66,24.422,False,"[[311.04, 514.92], [311.28, 507.6], [314.64, 503.16], [326.16, 502.68]]",actual
L0049,42,43,66,28.507,False,"[[286.56, 549.96], [278.76, 551.64], [272.64, 556.68], [272.64, 569.28]]",actual
L0050,43,44,66,19.92,False,"[[278.88, 572.64], [278.957, 572.658], [279.045, 572.677], [279.142, 572.696], [279.249, 572.717], [279.364, 572.739], [279.487, 572.764], [279.618, 572.792], [279.756, 572.822], [279.9, 572.857], [280.05, 572.895], [280.206, 572.938], [280.366, 572.986], [280.531, 573.039], [280.699, 573.098], [280.871, 573.163], [281.046, 573.235], [281.222, 573.314], [281.401, 573.401], [281.58, 573.496], [281.76, 573.6], [286.08, 577.32], [285.72, 588.48]]",actual
5908,45,46,66,34.915,False,"[[371.64, 489.36], [379.44, 489.72], [381.36, 498.84], [383.64, 516.48]]",actual
L0051,45,185,66,80.824,False,"[[371.76, 484.56], [383.64, 484.32], [379.56, 473.76], [350.28, 455.64], [343.2, 455.28], [330.79, 465.534]]",actual
L0052,47,48,66,44.624,False,"[[569.04, 382.2], [588.12, 378.6], [587.04, 363.48], [585.0, 353.64]]",actual
L0053,47,177,66,22.948,False,"[[570.84, 386.88], [589.92, 387.24], [591.6, 390.72]]",actual
511E,48,49,66,87.566,False,"[[555.84, 277.56], [565.56, 305.76], [565.631, 307.632], [565.701, 309.504], [565.769, 311.376], [565.836, 313.247], [565.901, 315.118], [565.966, 316.989], [566.03, 318.859], [566.094, 320.728], [566.157, 322.597], [566.22, 324.465], [566.283, 326.332], [566.346, 328.198], [566.41, 330.063], [566.474, 331.927], [566.539, 333.789], [566.604, 335.651], [566.671, 337.51], [566.739, 339.369], [566.809, 341.225], [566.88, 343.08], [585.0, 352.44]]",actual
L0054,50,51,66,44.763,False,"[[622.2, 447.72], [627.48, 441.36], [662.88, 432.48]]",actual
L0055,50,177,66,72.647,False,"[[591.6, 390.72], [591.6, 390.72], [591.672, 391.368], [591.744, 392.016], [591.816, 392.664], [591.887, 393.312], [591.958, 393.96], [592.029, 394.608], [592.099, 395.256], [592.168, 395.904], [592.237, 396.552], [592.305, 397.2], [592.372, 397.848], [592.438, 398.496], [592.503, 399.144], [592.567, 399.792], [592.629, 400.44], [592.691, 401.088], [592.75, 401.736], [592.809, 402.384], [592.865, 403.032], [592.92, 403.68], [612.72, 448.68], [623.04, 450.36]]",actual
L0056,51,91,66,122.35,False,"[[662.88, 432.48], [664.92, 417.48], [684.24, 403.56], [698.76, 384.96], [702.36, 368.64], [697.92, 363.48], [694.2, 337.8], [704.16, 335.04]]",actual
L0057,52,53,66,35.495,False,"[[696.6, 668.88], [687.84, 661.8], [686.511, 661.63], [685.221, 661.477], [683.965, 661.34], [682.739, 661.217], [681.54, 661.106], [680.362, 661.005], [679.201, 660.912], [678.054, 660.825], [676.915, 660.741], [675.78, 660.66], [674.645, 660.579], [673.506, 660.495], [672.359, 660.408], [671.198, 660.315], [670.02, 660.214], [668.82, 660.103], [667.595, 659.98], [666.339, 659.843], [665.049, 659.69], [663.72, 659.52]]",actual
L0058,53,136,66,10.607,False,"[[658.2, 648.24], [662.16, 658.08]]",actual
L0059,54,55,66,17.292,False,"[[492.36, 684.48], [487.8, 701.16]]",actual
