line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
L0028,34,35,66,17.496,False,"[[590.64, 252.6], [606.36, 244.92]]",actual,3.8491,0.002651,0.033843,0.00045941,50.0,
281P,34,190,66,30.12,False,"[[590.76, 252.36], [587.28, 253.08], [563.4, 264.72]]",actual,6.6264,0.004564,0.058262,0.00079089,50.0,
L0029,34,191,66,26.214,False,"[[594.0, 250.92], [592.32, 224.76]]",actual,5.7671,0.003972,0.050707,0.00068833,50.0,
L0030,34,192,66,14.869,False,"[[597.0, 249.84], [598.8, 235.08]]",actual,3.2712,0.002253,0.028762,0.00039043,50.0,
281F,35,47,66,102.44,False,"[[609.48, 246.72], [593.28, 257.88], [601.68, 267.84], [607.68, 278.52], [609.6, 290.64], [613.56, 291.84], [618.12, 301.44], [618.12, 305.88], [623.16, 319.2], [623.195, 319.452], [623.229, 319.704], [623.261, 319.956], [623.291, 320.208], [623.321, 320.46], [623.35, 320.712], [623.378, 320.964], [623.406, 321.216], [623.433, 321.468], [623.46, 321.72], [623.487, 321.972], [623.514, 322.224], [623.542, 322.476], [623.57, 322.728], [623.599, 322.98], [623.628, 323.232], [623.659, 323.484], [623.691, 323.736], [623.725, 323.988], [623.76, 324.24], [617.28, 325.92]]",actual,22.5368,0.015521,0.198154,0.00268987,50.0,
L0031,36,37,66,29.618,False,"[[666.84, 645.24], [674.88, 653.4], [686.88, 653.4], [686.16, 647.28]]",actual,6.516,0.004488,0.057291,0.00077771,50.0,
L0032,38,39,66,37.671,False,"[[414.6, 427.44], [409.44, 435.12], [409.438, 435.472], [409.433, 435.844], [409.426, 436.233], [409.416, 436.638], [409.404, 437.055], [409.391, 437.483], [409.378, 437.92], [409.363, 438.363], [409.349, 438.81], [409.335, 439.26], [409.322, 439.71], [409.31, 440.157], [409.301, 440.6], [409.293, 441.037], [409.288, 441.465], [409.286, 441.882], [409.288, 442.287], [409.294, 442.676], [409.305, 443.048], [409.32, 443.4], [405.6, 450.0], [396.84, 459.0]]",actual,8.2876,0.005708,0.072869,0.00098916,50.0,
212B,38,72,66,67.937,False,"[[414.84, 427.08], [421.44, 429.48], [454.32, 425.52], [462.96, 427.92], [470.76, 423.96], [480.72, 425.52]]",actual,14.9461,0.010293,0.131413,0.00178389,50.0,
L0033,38,82,66,69.117,False,"[[415.56, 425.52], [416.16, 417.36], [417.96, 406.92], [421.8, 396.72], [422.64, 383.16], [425.16, 372.96], [427.44, 368.64], [437.88, 367.92]]",actual,15.2057,0.010472,0.133696,0.00181487,50.0,
223F,39,73,66,84.66,False,"[[351.48, 518.04], [363.12, 518.16], [366.6, 507.0], [366.84, 498.96], [374.4, 477.0], [383.76, 474.24], [387.6, 469.2], [396.6, 458.52]]",actual,18.6252,0.012827,0.163762,0.002223,50.0,
223Q,40,41,66,57.086,False,"[[311.16, 479.16], [318.36, 477.24], [326.28, 477.84], [331.56, 482.28], [348.72, 486.72], [354.72, 484.2], [365.28, 484.2]]",actual,12.5589,0.008649,0.110424,0.00149896,50.0,
L0034,40,42,66,39.0,False,"[[269.28, 482.52], [308.28, 482.52]]",actual,8.58,0.005909,0.075439,0.00102406,50.0,
L0035,40,42,33,42.12,False,"[[266.64, 479.64], [308.76, 479.64]]",actual,9.2664,0.048247,0.331855,0.00030273,20.0,
L0036,40,213,33,70.33,False,"[[310.2, 479.4], [308.88, 474.72], [302.04, 470.88], [300.72, 463.56], [298.68, 461.64], [296.64, 453.12], [301.44, 446.52], [300.0, 442.56], [304.08, 439.32], [302.04, 430.8], [298.68, 428.76], [299.4, 424.92], [297.96, 420.72]]",actual,15.4726,0.08056,0.554115,0.00050549,20.0,
223M,42,43,66,33.627,False,"[[235.08, 499.68], [267.48, 490.68]]",actual,7.3979,0.005095,0.065046,0.00088298,50.0,
223K,42,217,33,18.323,False,"[[266.64, 479.64], [262.32, 479.64], [258.0, 475.44], [252.24, 469.92]]",actual,4.0311,0.020988,0.144363,0.00013169,20.0,
L0037,42,221,33,10.991,False,"[[253.56, 488.16], [264.36, 486.12]]",actual,2.418,0.01259,0.086596,7.9e-05,20.0,
223J,42,238,33,26.183,False,"[[256.32, 454.8], [258.6, 467.4], [264.0, 479.64]]",actual,5.7603,0.029991,0.20629,0.00018819,20.0,
L0038,44,45,66,43.26,False,"[[439.8, 547.8], [446.04, 548.64], [449.52, 551.16], [458.04, 551.16], [463.32, 546.36], [465.84, 545.04], [469.2, 545.64], [472.44, 542.04], [478.32, 541.44]]",actual,9.5172,0.006555,0.08368,0.00113592,50.0,
L0039,44,143,66,76.863,False,"[[361.56, 550.92], [376.68, 547.32], [438.0, 547.32]]",actual,16.9099,0.011646,0.148679,0.00201827,50.0,
L0040,45,46,66,47.232,False,"[[501.36, 508.8], [497.4, 509.28], [487.2, 515.4], [485.16, 523.08], [489.96, 530.76], [488.28, 540.36], [483.72, 540.96]]",actual,10.391,0.007156,0.091363,0.00124022,50.0,
281G,48,49,66,28.805,False,"[[595.92, 536.88], [600.0, 533.64], [606.6, 531.72], [615.24, 525.96], [621.24, 523.92]]",actual,6.3371,0.004364,0.055719,0.00075636,50.0,
L0041,49,50,66,124.192,False,"[[620.04, 525.36], [625.92, 547.44], [633.84, 576.0], [633.84, 589.56], [638.52, 592.8], [644.4, 614.28], [639.12, 623.28], [641.76, 630.48], [633.84, 639.6]]",actual,27.3222,0.018817,0.24023,0.00326103,50.0,
281J,49,218,33,41.363,False,"[[580.56, 514.44], [591.72, 518.16], [599.76, 516.84], [605.04, 516.84], [609.6, 521.88], [614.88, 523.08], [618.84, 523.08]]",actual,9.0999,0.047379,0.32589,0.00029729,20.0,
281H,49,226,33,63.391,False,"[[622.68, 524.4], [630.0, 522.84], [636.48, 519.72], [642.24, 518.88], [650.16, 523.68], [658.08, 520.44], [671.88, 520.44], [682.68, 523.68]]",actual,13.946,0.072612,0.499444,0.00045562,20.0,
