line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
711N,24,25,66,33.134,False,"[[631.56, 506.4], [610.2, 489.6], [610.26, 489.406], [610.332, 489.186], [610.413, 488.943], [610.503, 488.679], [610.601, 488.398], [610.705, 488.102], [610.815, 487.794], [610.928, 487.477], [611.043, 487.153], [611.16, 486.825], [611.277, 486.497], [611.392, 486.17], [611.505, 485.848], [611.615, 485.534], [611.719, 485.229], [611.817, 484.938], [611.907, 484.663], [611.988, 484.406], [612.06, 484.171], [612.12, 483.96]]",actual,7.6208,0.005248,0.067006,0.00090958,50.0,
751D,26,27,66,75.624,False,"[[656.88, 669.6], [666.0, 665.64], [682.92, 649.08], [694.68, 644.4], [699.24, 638.52], [714.24, 633.84], [717.48, 628.56]]",actual,17.3935,0.011979,0.152932,0.00207599,50.0,
751A,26,42,66,24.145,False,"[[633.48, 666.96], [657.48, 669.6]]",actual,5.5534,0.003825,0.048828,0.00066282,50.0,
711D,29,32,66,58.607,False,"[[664.68, 393.72], [668.64, 398.04], [663.48, 408.6], [659.16, 425.4], [656.64, 432.24], [652.56, 448.08]]",actual,13.4796,0.009283,0.118519,0.00160885,50.0,
L0054,29,74,66,13.464,False,"[[652.56, 450.84], [663.36, 458.88]]",actual,3.0967,0.002133,0.027228,0.00036961,50.0,
733A,30,120,66,49.907,False,"[[672.48, 519.48], [681.84, 519.48], [688.92, 528.6], [693.96, 557.16]]",actual,11.4786,0.007905,0.100925,0.00137002,50.0,
711Q,30,54,66,63.395,False,"[[635.16, 489.84], [639.48, 485.16], [648.6, 483.24], [650.64, 478.8], [657.0, 478.8], [659.88, 484.56], [669.84, 512.88]]",actual,14.5809,0.010042,0.128202,0.00174029,50.0,
711K,32,33,66,56.947,False,"[[665.4, 393.12], [680.04, 397.2], [721.32, 390.96]]",actual,13.0978,0.009021,0.115162,0.00156328,50.0,
711H,32,250,33,31.949,False,"[[663.12, 395.28], [678.36, 367.2]]",actual,7.3483,0.03826,0.263161,0.00024007,20.0,
711G,33,53,66,30.685,False,"[[711.84, 392.64], [712.44, 386.52], [736.2, 380.4]]",actual,7.0575,0.004861,0.062053,0.00084235,50.0,
731E,34,35,66,101.172,False,"[[678.24, 459.6], [681.48, 466.8], [692.4, 474.0], [702.0, 477.96], [729.0, 499.68], [757.2, 478.68]]",actual,23.2696,0.016026,0.204597,0.00277732,50.0,
711M,34,74,66,17.16,False,"[[663.36, 458.88], [680.52, 458.88]]",actual,3.9468,0.002718,0.034702,0.00047107,50.0,
712E,35,117,66,39.184,False,"[[756.24, 481.2], [755.64, 485.88], [785.76, 491.04], [786.48, 487.2]]",actual,9.0123,0.006207,0.079241,0.00107566,50.0,
762F,36,38,66,60.178,False,"[[552.84, 640.56], [548.04, 652.68], [532.44, 666.96], [524.4, 670.32], [519.48, 682.44], [515.88, 680.28]]",actual,13.8409,0.009532,0.121696,0.00165198,50.0,
L0055,36,93,66,11.088,False,"[[481.08, 685.92], [479.16, 675.0]]",actual,2.5502,0.001756,0.022423,0.00030438,50.0,
L0056,36,94,66,32.868,False,"[[424.44, 721.32], [433.08, 706.08], [443.16, 706.08], [445.8, 701.52]]",actual,7.5596,0.005206,0.066468,0.00090228,50.0,
761G,36,99,66,13.616,False,"[[501.72, 679.56], [509.52, 668.4]]",actual,3.1317,0.002157,0.027535,0.00037378,50.0,
761C,37,38,66,29.438,False,"[[546.84, 613.56], [544.32, 627.96], [552.12, 640.56]]",actual,6.7707,0.004663,0.059532,0.00080812,50.0,
7605,38,246,33,44.859,False,"[[559.92, 651.72], [566.4, 661.68], [568.44, 671.88], [574.2, 683.76], [583.56, 684.24]]",actual,10.3176,0.05372,0.3695,0.00033708,20.0,
762G,39,40,66,65.958,False,"[[604.32, 699.72], [597.0, 681.84], [598.8, 676.56], [611.16, 671.16], [614.16, 654.6], [614.76, 648.72], [615.96, 644.04]]",actual,15.1703,0.010448,0.133385,0.00181065,50.0,
717,41,42,66,71.859,False,"[[582.96, 626.88], [619.2, 645.96], [622.44, 656.4], [623.64, 665.64], [627.6, 666.96], [634.08, 666.96]]",actual,16.5276,0.011383,0.145318,0.00197264,50.0,
762A,41,119,66,17.322,False,"[[590.28, 631.2], [596.28, 622.44], [594.36, 619.56], [594.198, 619.559], [594.036, 619.557], [593.874, 619.553], [593.712, 619.548], [593.55, 619.541], [593.388, 619.534], [593.226, 619.526], [593.064, 619.518], [592.902, 619.509], [592.74, 619.5], [592.578, 619.491], [592.416, 619.482], [592.254, 619.474], [592.092, 619.466], [591.93, 619.459], [591.768, 619.452], [591.606, 619.447], [591.444, 619.443], [591.282, 619.441], [591.12, 619.44]]",actual,3.9841,0.002744,0.03503,0.00047552,50.0,
L0057,43,44,66,16.765,False,"[[495.0, 772.08], [501.12, 772.08], [504.0, 776.52], [503.941, 776.71], [503.872, 776.92], [503.794, 777.147], [503.709, 777.39], [503.617, 777.645], [503.52, 777.911], [503.419, 778.186], [503.315, 778.467], [503.208, 778.752], [503.1, 779.04], [502.992, 779.328], [502.885, 779.613], [502.781, 779.894], [502.68, 780.169], [502.582, 780.435], [502.491, 780.69], [502.406, 780.933], [502.328, 781.16], [502.259, 781.37], [502.2, 781.56]]",actual,3.856,0.002656,0.033903,0.00046022,50.0,
L0058,44,45,66,62.61,False,"[[504.24, 771.72], [523.8, 771.12], [529.32, 769.44], [558.24, 769.08], [566.16, 766.44]]",actual,14.4003,0.009918,0.126614,0.00171874,50.0,
L0059,46,47,66,85.336,False,"[[247.92, 1026.601], [247.92, 1037.881], [233.52, 1058.521], [229.32, 1072.681], [207.24, 1091.161], [205.2, 1096.081]]",actual,19.6273,0.013517,0.172572,0.0023426,50.0,
L0060,46,48,66,37.018,False,"[[235.08, 1059.001], [249.6, 1038.481], [249.6, 1026.601]]",actual,8.5141,0.005864,0.07486,0.0010162,50.0,
