line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
L0033,31,166,66,30.127,False,"[[318.6, 395.4], [318.583, 394.802], [318.567, 394.195], [318.553, 393.582], [318.54, 392.962], [318.529, 392.336], [318.518, 391.706], [318.508, 391.073], [318.498, 390.437], [318.489, 389.799], [318.48, 389.16], [318.471, 388.521], [318.462, 387.883], [318.452, 387.247], [318.442, 386.614], [318.431, 385.984], [318.42, 385.358], [318.407, 384.738], [318.393, 384.125], [318.377, 383.518], [318.36, 382.92], [319.197, 382.918], [320.049, 382.913], [320.916, 382.905], [321.796, 382.894], [322.686, 382.881], [323.584, 382.865], [324.489, 382.847], [325.399, 382.828], [326.311, 382.807], [327.225, 382.785], [328.138, 382.762], [329.048, 382.739], [329.953, 382.715], [330.852, 382.691], [331.742, 382.667], [332.622, 382.644], [333.489, 382.621], [334.343, 382.599], [335.18, 382.579], [336.0, 382.56]]",actual,5.7241,0.003942,0.050329,0.0006832,50.0,
L0034,32,33,66,118.584,False,"[[281.64, 248.16], [293.52, 252.36], [293.629, 252.575], [293.739, 252.789], [293.851, 253.0], [293.964, 253.211], [294.079, 253.419], [294.194, 253.627], [294.31, 253.833], [294.426, 254.038], [294.543, 254.242], [294.66, 254.445], [294.777, 254.647], [294.894, 254.848], [295.01, 255.049], [295.126, 255.249], [295.241, 255.448], [295.356, 255.647], [295.469, 255.846], [295.581, 256.044], [295.691, 256.242], [295.8, 256.44], [327.36, 242.4], [360.24, 242.52], [365.4, 258.48], [365.917, 258.071], [366.493, 257.638], [367.121, 257.183], [367.794, 256.71], [368.507, 256.221], [369.252, 255.718], [370.024, 255.206], [370.816, 254.686], [371.622, 254.162], [372.435, 253.635], [373.249, 253.109], [374.057, 252.588], [374.854, 252.072], [375.632, 251.566], [376.386, 251.072], [377.108, 250.593], [377.793, 250.131], [378.435, 249.69], [379.026, 249.272], [379.56, 248.88]]",actual,22.531,0.015517,0.198103,0.00268917,50.0,
L0035,32,69,66,85.504,False,"[[248.4, 193.68], [257.4, 200.04], [264.12, 216.0], [275.64, 220.8], [284.16, 231.72], [291.96, 240.48], [292.8, 249.72], [283.44, 246.72]]",actual,16.2458,0.011189,0.14284,0.001939,50.0,
321H,33,75,66,76.893,False,"[[376.56, 247.32], [366.6, 251.52], [366.473, 251.008], [366.345, 250.513], [366.215, 250.034], [366.084, 249.569], [365.951, 249.116], [365.818, 248.673], [365.684, 248.238], [365.55, 247.809], [365.415, 247.383], [365.28, 246.96], [365.145, 246.537], [365.01, 246.111], [364.876, 245.682], [364.742, 245.247], [364.609, 244.804], [364.476, 244.351], [364.345, 243.886], [364.215, 243.407], [364.087, 242.912], [363.96, 242.4], [388.92, 241.68], [406.92, 230.76], [416.76, 226.92]]",actual,14.6097,0.010062,0.128455,0.00174373,50.0,
383A,35,66,66,40.085,False,"[[469.56, 814.44], [476.16, 822.96], [491.52, 831.96], [497.28, 841.92]]",actual,7.6162,0.005245,0.066965,0.00090902,50.0,
L0036,36,37,66,15.612,False,"[[417.0, 605.16], [417.004, 605.772], [417.017, 606.485], [417.036, 607.283], [417.062, 608.153], [417.094, 609.083], [417.13, 610.057], [417.169, 611.062], [417.211, 612.085], [417.255, 613.113], [417.3, 614.13], [417.345, 615.124], [417.389, 616.081], [417.431, 616.987], [417.47, 617.829], [417.506, 618.593], [417.538, 619.264], [417.564, 619.831], [417.583, 620.278], [417.596, 620.592], [417.6, 620.76]]",actual,2.9663,0.002043,0.026081,0.00035404,50.0,
311A,38,39,66,94.849,False,"[[544.8, 195.24], [550.8, 207.12], [563.4, 210.36], [560.04, 228.48], [558.36, 242.64], [557.76, 264.0], [546.72, 273.36]]",actual,18.0213,0.012411,0.158452,0.00215092,50.0,
312A,39,56,66,113.543,False,"[[549.12, 274.56], [564.84, 267.84], [576.36, 271.2], [595.2, 270.96], [639.36, 240.36], [651.24, 240.36]]",actual,21.5732,0.014858,0.189681,0.00257485,50.0,
313G,41,42,66,44.473,False,"[[451.56, 170.4], [449.76, 178.44], [451.08, 185.16], [455.88, 190.2], [459.72, 203.64], [460.008, 204.27], [460.261, 204.834], [460.484, 205.337], [460.679, 205.788], [460.851, 206.192], [461.002, 206.557], [461.137, 206.89], [461.258, 207.198], [461.37, 207.487], [461.475, 207.765], [461.578, 208.038], [461.681, 208.314], [461.789, 208.599], [461.905, 208.901], [462.032, 209.226], [462.174, 209.58], [462.334, 209.972], [462.516, 210.408], [462.724, 210.895], [462.96, 211.44]]",actual,8.4499,0.005819,0.074295,0.00100853,50.0,
L0037,43,44,66,26.413,False,"[[646.68, 362.52], [671.64, 371.16]]",actual,5.0185,0.003456,0.044125,0.00059898,50.0,
