bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
206,277.68,679.56,1,substation_or_sw,開閉所,荒巻,False,,PQ,0.0,0.0,0.0,0.0,1.0
207,320.7,825.36,2,substation_or_sw,開閉所,西多賀,False,,PQ,0.0,0.0,0.0,0.0,1.0
208,439.56,680.88,3,substation_or_sw,変電所,塩釜,False,,PQ,4.0,1.9373,0.0,0.0,1.0
209,457.32,665.64,1,substation_or_sw,開閉所,塩釜築港,False,,PQ,0.0,0.0,0.0,0.0,1.0
210,442.286,710.28,7,substation_or_sw,開閉所,多賀城,False,,PQ,0.0,0.0,0.0,0.0,1.0
211,411.48,706.89,0,substation_or_sw,1次変電所,大日,False,,PQ,0.0,0.0,0.0,0.0,1.0
212,293.76,657.84,2,substation_or_sw,開閉所,七北田,False,,PQ,0.0,0.0,0.0,0.0,1.0
213,375.69,771.45,2,substation_or_sw,開閉所,卸町,False,,PQ,0.0,0.0,0.0,0.0,1.0
214,359.64,789.84,1,substation_or_sw,開閉所,長町,False,,PQ,0.0,0.0,0.0,0.0,1.0
215,318.96,794.04,1,substation_or_sw,変電所,土樋,False,,PQ,4.0,1.9373,0.0,0.0,1.0
216,380.28,736.491,4,substation_or_sw,変電所,榴岡,False,,PQ,4.0,1.9373,0.0,0.0,1.0
217,296.04,792.6,1,substation_or_sw,変電所,（340504）,False,,PQ,4.0,1.9373,0.0,0.0,1.0
218,306.0,791.28,1,substation_or_sw,変電所,土樋,False,,PQ,4.0,1.9373,0.0,0.0,1.0
219,291.96,669.6,1,substation_or_sw,変電所,七北田,False,,PQ,4.0,1.9373,0.0,0.0,1.0
220,459.36,712.32,1,substation_or_sw,変電所,多賀城,False,,PQ,4.0,1.9373,0.0,0.0,1.0
221,458.16,694.56,1,substation_or_sw,変電所,多賀城,False,,PQ,4.0,1.9373,0.0,0.0,1.0
222,426.6,762.0,1,substation_or_sw,変電所,東若林,False,,PQ,4.0,1.9373,0.0,0.0,1.0
223,390.36,784.74,0,substation_or_sw,開閉所,南仙台,False,,PQ,0.0,0.0,0.0,0.0,1.0
224,339.12,831.0,1,substation_or_sw,開閉所,高舘,False,,PQ,0.0,0.0,0.0,0.0,1.0
225,313.5,653.22,2,generator,発電所,七北田,False,,PQ,0.0,0.0,5.0,2.4216,1.0
226,333.42,669.51,2,substation_or_sw,開閉所,鶴ヶ谷,False,,PQ,0.0,0.0,0.0,0.0,1.0
